groesse;wert;einheit;jahr;lesart;quelle_url;zugriff;archiv;anmerkung
wohngebaeude_sh_hh;0,03;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"Datenservice zum Naturgefahrenreport 2025, S. 39, Grafik 'Wohngebaeudeversicherung - Elementar. Schadensatz [Promille] / Schadenhaeufigkeit [%] / Schadendurchschnitt [Euro] je Bundesland 2014-2023' (Web-Fassung 'Schaeden durch Elementargefahren an Wohngebaeuden nach Bundeslaendern', Stand 10.10.2025) · Schleswig-Holstein/Hamburg · Zeile 2023 der drei Tabellen: Schadensatz 0,03 Promille; Schadenhaeufigkeit 0,5 %; Schadendurchschnitt 6.758 Euro · Textebene der PDF ausgelesen, keine Balkenmessung noetig · absolute Schadensumme in Euro wird hier nicht ausgewiesen"
wohngebaeude_ni_hb;0,07;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Niedersachsen/Bremen · Zeile 2023: Schadensatz 0,07 Promille; Schadenhaeufigkeit 1,0 %; Schadendurchschnitt 5.597 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_nw;0,06;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Nordrhein-Westfalen · Zeile 2023: Schadensatz 0,06 Promille; Schadenhaeufigkeit 0,8 %; Schadendurchschnitt 6.857 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_he;0,16;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Hessen · Zeile 2023: Schadensatz 0,16 Promille; Schadenhaeufigkeit 1,4 %; Schadendurchschnitt 9.875 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_rp_sl;0,06;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Rheinland-Pfalz/Saarland · Zeile 2023: Schadensatz 0,06 Promille; Schadenhaeufigkeit 0,4 %; Schadendurchschnitt 9.224 Euro · Fussnote der Grafik: Schadendurchschnitt 2021 groesser 100.000 Euro wegen der Sturzflut 'Bernd' (Tabellenwert 2021: 102.478 Euro)"
wohngebaeude_bw;0,02;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Baden-Wuerttemberg · Zeile 2023: Schadensatz 0,02 Promille; Schadenhaeufigkeit 0,3 %; Schadendurchschnitt 6.187 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_by;0,06;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Bayern · Zeile 2023: Schadensatz 0,06 Promille; Schadenhaeufigkeit 1,0 %; Schadendurchschnitt 5.694 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_be_bb;0,02;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Berlin/Brandenburg · Zeile 2023: Schadensatz 0,02 Promille; Schadenhaeufigkeit 0,4 %; Schadendurchschnitt 5.194 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_mv;0,01;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Mecklenburg-Vorpommern · Zeile 2023: Schadensatz 0,01 Promille; Schadenhaeufigkeit 0,2 %; Schadendurchschnitt 4.451 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_sn;0,01;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Sachsen · Zeile 2023: Schadensatz 0,01 Promille; Schadenhaeufigkeit 0,3 %; Schadendurchschnitt 4.005 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_st;0,06;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Sachsen-Anhalt · Zeile 2023: Schadensatz 0,06 Promille; Schadenhaeufigkeit 0,5 %; Schadendurchschnitt 7.650 Euro · keine absolute Schadensumme in der Grafik"
wohngebaeude_th;0,02;Promille;2023;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"S. 39, Thueringen · Zeile 2023: Schadensatz 0,02 Promille; Schadenhaeufigkeit 0,3 %; Schadendurchschnitt 4.933 Euro · keine absolute Schadensumme in der Grafik"
sach_elementar_gesamt;2600;Mio. EUR;2024;Tabelle abgelesen;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"Datenservice zum Naturgefahrenreport 2025, S. 16, Tabelle 'Sachversicherung. Schadenaufwand Sturm/Hagel und Elementar 2024 je Bundesland', Zeile 'Gesamt', Block Elementar: 255.000 Schaeden; 2.600 Mio. Euro; 10.200 Euro Schadendurchschnitt; 11,7 % Schadenhaeufigkeit · deckungsgleich mit dem Jahreswert 2024 = 2,6 Mrd. Euro aus docs/evidenz/60_gdv_jahresreihe_2002_2024.csv · dies ist der Nenner, den ein Anteil w_wg braeuchte; die zugehoerige Zaehlergroesse (Wohngebaeude-Elementar in Euro) steht in der Bundeslaender-Grafik nicht"
w_wg;nicht bestimmt;-;2023;nicht ablesbar;https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;"Der Anteil der Wohngebaeude an der Sach-Elementarschadensumme laesst sich aus der GDV-Grafik 'Elementarschaeden an Wohngebaeuden nach Bundeslaendern' (Web-Fassung 'Schaeden durch Elementargefahren an Wohngebaeuden nach Bundeslaendern', Stand 10.10.2025; Druckfassung Datenservice zum Naturgefahrenreport 2025, S. 39) nicht ablesen. Die Grafik zeigt ausschliesslich drei Verhaeltniszahlen je Bundesland und Jahr 2014-2023: Schadensatz in Promille (Schadenaufwand bezogen auf die Versicherungssumme), Schadenhaeufigkeit in Prozent (Zahl der Schaeden bezogen auf die Zahl der Vertraege) und Schadendurchschnitt in Euro je Schaden. Ein Anteil w_wg braucht dagegen zwei absolute Schadensummen in Euro: Wohngebaeude-Elementar als Zaehler und Sach-Elementar als Nenner. Beide fehlen in dieser Grafik. Der Zaehler liesse sich auch nicht rekonstruieren: Schadenhaeufigkeit mal Schadendurchschnitt ergaebe erst zusammen mit der Zahl der versicherten Wohngebaeude je Bundesland eine Summe, und der Schadensatz erst zusammen mit der Versicherungssumme je Bundesland; beide Bestandsgroessen weist die Grafik nicht aus. Der Nenner fehlt ebenfalls, weil die Grafik nur den Wohngebaeude-Schnitt zeigt und Hausrat, Gewerbe und Industrie gar nicht enthaelt; die Sach-Gesamtsumme steht in einer anderen Tabelle (S. 16, Zeile sach_elementar_gesamt dieser Datei, 2.600 Mio. Euro fuer 2024), die aber keine Wohngebaeude-Spalte fuehrt. Zudem decken Grafik (2014-2023) und Sach-Tabelle (2024) verschiedene Jahre ab, sodass selbst bei vorhandenen Summen kein jahresgleicher Quotient entstuende. Der Bericht fuehrt w_wg = 0,65 (Band 0,55-0,75) weiterhin als begruendete Abschaetzung von KAP3 (Paragraf 4.2); diese Zeile belegt nur, dass die im Ledger genannte Grafik die Abschaetzung nicht durch eine Messung ersetzen kann. Befund 34 bleibt offen."
