jahr;wert_mrd_eur;lesart;reihe;quelle_url;zugriff;archiv;anmerkung
2002;7,4;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;Datenservice zum Naturgefahrenreport 2025, S. 17, Grafik 'Zeitreihe Naturgefahrenschäden – Hochrechnung auf Bestand und Preise 2024', Balken Elementar · Balkenhöhe aus den Vektorkoordinaten der PDF ausgemessen (Maßstab 8,974 pt je Mrd. EUR aus den Gitterlinien 5/10/15/20/25) · Maßstabsprobe gegen den gedruckten Gesamtwert 13,3 passt (gemessen 13,30) · GDV-Elementar umfasst mehr als Starkregen und Überschwemmung
2003;0,5;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2004;0,4;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2005;0,9;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2006;0,9;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2007;1,0;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen · gedruckter Gesamtwert 8,0, Balkensumme 8,1 (Rundung der Teilwerte)
2008;0,9;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen · geht in die Abschätzung 2009 ein
2009;0,68;Abschaetzung KAP3;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;Begründete Abschätzung von KAP3, kein GDV-Wert: In der Grafik 'Hochrechnung auf Bestand und Preise 2024' (S. 17) fehlt der Elementar-Balken 2009. Ablesewerte Grafik 'Hochrechnung auf 100 % Versicherungsdichte 2024' (S. 17, oben), Elementar: 2009 = 1,2 · 2008 = 1,6 · 2010 = 2,6. Verhältnisse Bestand-und-Preise ÷ 100 %: 2008 = 0,9 ÷ 1,6 = 0,5625 · 2010 = 1,5 ÷ 2,6 = 0,5769. Faktor = Mittel = (0,5625 + 0,5769) ÷ 2 = 0,5697. Rechnung: 1,2 × 0,5697 = 0,684 ≈ 0,68 Mrd. EUR. Unsicherheit: Faktoren der Nachbarjahre liegen bei 0,56 bis 0,58, daraus 0,68 bis 0,69 · Ablesegenauigkeit ±0,05 je Balken.
2010;1,5;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen · geht in die Abschätzung 2009 ein
2011;1,1;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2012;0,4;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
